id,title,buyer,value,cpvs,stage,published_date,date_modified,contract_start,contract_end,description,source,source_url,batch_id
rls-28-MAR551502,Single Use Podiatry Instruments,The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS),2000000.0,33140000,planning,2026-03-11T00:00:00Z,,,,"The Common Services Agency (more commonly known as National Services Scotland) (âthe Authorityâ) acting through its division
 Procurement, Commissioning and Facilities is undertaking this procurement of supply and of Single Use Podiatry Instruments on behalf of
 all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHS Scotland Health Boards, Special Health
 Boards and the Authority or other NHS Organisation established pursuant to the NHS (Scotland) Act 1978), any integrated Joint Boards
 established pursuant to the new Public Bodies (Joint Working) Scotland Act 2014 (collectively hereafter referred to as âParticipating
 Authoritiesâ).",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/551502,batch_20260414_194917
rls-29-MAR551501,Pulse Oximetry Consumables,The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS),12000000.0,"33140000, 33195000",planning,2026-03-11T00:00:00Z,,,,"The supply and delivery of Pulse Oximetry Consumables including disposable and reusable probes to all entities constituted pursuant to the
 National Health Service",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/551501,batch_20260414_194917
rls-30-MAR551500,Operating Tables & Theatre Lighting,The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS),2000000.0,"33192230, 33169000, 31524110, 39143112, 33162100",planning,2026-03-11T00:00:00Z,,,,"The supply and maintenance of mobile operating tables, transfer systems, surgical trolley systems, including accessories, and operating theatre lights (LED) for all clinical specialties, including, but not limited to, vascular, orthopaedics, neurology, urology, gynaecology, colorectal surgery.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/551500,batch_20260414_194917
rls-31-MAR551349,Portable Appliance Testing (PAT),NHS Highland,250000.0,"71630000, 50000000, 71000000, 51000000, 71317200, 79993100, 71314100, 31000000, 71600000",planning,2026-03-10T00:00:00Z,,,,NHS Highland requires the provision of Portable Appliance Testing (PAT)services ensuring compliance with all relevant statutory requirements under across all NHS Highland sites including Argyll & Bute,Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/551349,batch_20260414_194917
rls-32-MAR551317,"Supply, delivery, installation and commissioning of a Reliability Testing Kit",University of Strathclyde,1120000.0,38000000,planning,2026-03-10T00:00:00Z,,,,"National Manufacturing Institute Scotland (NMIS) is in the process of expanding its manufacturing capability into the semiconductor advanced packaging area with specific focus on power electronics, radiofrequency and photonics. To support this expansion, NMIS intends to procure equipment that is flexible to support a wide variety of reliability testing for packaged devices. NMIS intends to purchase a suite of environmental test equipment to test packaged devices in a variety of ways including under temperature and humidity control and in the presence of bias voltages.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/551317,batch_20260414_194917
rls-33-MAR551288,Works to Roads Related Structures,Renfrewshire Council,,"45000000, 45223000",planning,2026-03-09T00:00:00Z,,,,"Renfrewshire Council is planning to issue a tender for a contract for Works to Roads Related Structures. The contract may consist of the following types of works:
 -Bridge Strengthening/ Replacement;
 -Scour Protection Works;
 -Parapet Upgrading;
 -Bridge Joint Replacement;
 -General Bridge Maintenance;
 -Retaining Wall Strengthening/ Replacement;
 -Traffic management requirements;
 -any associated or ancillary works; and
 -any of the work the Contractor is to design
 In providing the works, the Contractor shall:
 -Design, supply, install, maintain and remove all traffic management measures and associated diversions.
 This list is indicative only and is subject to change. The Invitation to Tender will provide detail of the Council's requirement when it is published. Contractors who are interested in this opportunity are invited to completed and return the questionnaire attached to this Prior Information Notice should they wish to do so.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/551288,batch_20260414_194917
rls-34-MAR551188,"Dynamic Purchasing System- Transport for Education, Social care and other transport requirements (East Lothian Council)",East Lothian Council,,"60000000, 60120000, 34114400, 34121000, 34121500, 60100000",planning,2026-03-06T00:00:00Z,,,,East Lothian Council wishes to establish a Dynamic Purchasing System (DPS) to meet the education and social care needs of children and vulnerable adults as well as other passenger or transport requirements.,Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/551188,batch_20260414_194917
rls-35-MAR551136,SPS-02223 Fully Managed Vending Services for SPS,Scottish Prison Service,,42933000,planning,2026-03-06T00:00:00Z,,,,"The SPS provides a fully managed vending service across its entire estate. This service offers staff and visitors convenient access to a range of refreshments, including hot drinks, cold drinks, snacks, and confectionery. In addition, sites can opt to include freshâfood vending machines where required. All vending provision is aligned with the NHS Healthy Living Award criteria, ensuring healthier choices are available and promoted.
 The appointed supplier is responsible for the full operation of each machine. This includes:
 -Regular stocking and replenishment of products;
 -Routine cleaning and hygiene maintenance;
 -Technical upkeep, repairs, and general maintenance; and
 -Service visits at a frequency agreed with each individual site.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/551136,batch_20260414_194917
rls-36-MAR551114,Refurbishment and Modernisation (RM4) - Scotland & Northern Ireland,LHC Procurement Group for the Scottish Procurement Alliance (SPA),900000000.0,45000000,planning,2026-03-06T00:00:00Z,,,,"LHC Procurement Group (LHC PG) is developing the Refurbishment and Modernisation Framework (RM4) on behalf of the Scottish Procurement Alliance (SPA).
 The anticipated scope of RM4 includes the following workstreams:
 Painting and Decorating
 Electrical Works
 Kitchens and Bathrooms
 Aids and Adaptations
 Damp and Mould Remediation
 - Surveys / Investigations
 - Works
 Environmental and External Works
 - External Works
 - Ground Maintenance
 Stonework
 -Inspections
 -Cleaning, repairs and maintenance
 Reactive repairs and Maintenance (NB this will be a multi disciplinary workstream)
 Multi-Disciplinary Works
 Suppliers interested in participating should register their interest via the intend portal to receive ongoing information and updates in advance of the tender publication. The opportunity can be found on InTend at; https://in-tendhost.co.uk/lhc/aspx/ProjectManage/150",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/551114,batch_20260414_194917
rls-37-MAR551090,Insurance and Related Services 2026 for Prospect Community Housing,Prospect Community Housing,450000.0,"66510000, 66515200, 66518100, 66000000",planning,2026-03-06T00:00:00Z,,,,"The Contract is for the provision of general insurance and related services, including
 claims handling, loss control services and general
 programme maintenance and advice as required by Prospect Community Housing
 commencing 1st October 2026.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/551090,batch_20260414_194917
rls-38-MAR551026,Testing and Maintenance of Garage Equipment,Scottish Fire and Rescue Service,,"50433000, 50100000",planning,2026-03-05T00:00:00Z,,,,"Scottish Fire and Rescue Service (SFRS) is preparing to retender its Testing & Maintenance of Garage Equipment used across its workshop estate.
 This Prior Information Notice (PIN) is being issued to engage with the market and gather insights from potential suppliers. The aim is to inform the development of the upcoming tender documentation and ensure the specification accurately reflects current capabilities, industry standards, technological developments, and best practice in the servicing and maintenance of garage workshop equipment.
 SFRS is particularly interested in understanding supplier capability across the following areas:
 - Ability to maintain, calibrate, test and repair a broad range of garage and workshop equipment
 - Geographic service coverage across all SFRS workshops, including Glasgow, Dundee, Inverness and Newbridge
 - Availability of service engineers accredited by the Garage Equipment Association (GEA) or equivalent
 - Use of digital tools for reporting, asset management, maintenance scheduling, and document control
 - Approaches to delivering both planned and reactive maintenance, including typical response times
 - Supply chain resilience, including availability of OEM or OEM equivalent parts
 - Capacity to supply and install new equipment on an ad hoc basis
 - Business continuity planning, risk management, and contingency arrangements
 - Contract management processes, KPI monitoring, and data/reporting capability
 - Ability to support collaborative call off by other eligible public bodies (e.g., Scottish Ambulance Service and Police Scotland) where this is operationally beneficial and within scope of the Framework",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/551026,batch_20260414_194917
rls-39-MAR550965,Concession Contract for the Provision of Catering Services at Paisley Museum,Renfrewshire Leisure T/A OneRen,,"55520000, 55500000, 55523000, 55300000",planning,2026-03-04T00:00:00Z,,,,"Paisley Museum (PMR) will reopen in late 2026 following a period of refurbishment. The reimagined spaces will bring a world class visitor attraction and cultural venue to Paisley. Its vision is to create a leading European museum that celebrates Paisleyâs heritage, strengthens community connections, and offers inspiring visitor experiences.
 To support this ambition, Renfrewshire Leisure (hereafter referred to as OneRen) has a requirement to appoint a suitably qualified and experienced supplier to deliver the following services:
 - Paisley Museum CafÃ© Operation
 - Events Catering (Private, Corporate, and Internal Events)
 The cafÃ© will play a central role in shaping the overall visitor
 experience, and must reflect PMRâs values of creativity, community, and sustainability. The events catering service will be expected to complement the venueâs diverse programme, providing support for a range of functions.
 The appointed supplier will operate within the newly refurbished catering facilities and will work collaboratively with OneRen to maximise both commercial performance and community impact. The service will be delivered in line with best industry practice, with a focus on high-quality, locally influenced menus, sustainable operations, and excellent customer service.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/550965,batch_20260414_194917
rls-40-MAR550876,Northern Isles Ferry Services 4 (NIFS4),Transport Scotland,,60610000,planning,2026-03-04T00:00:00Z,,,,"Provision of public services in relation to the Northern Isles Ferry Services to/or from harbours located at Aberdeen, Kirkwall, Lerwick, Scrabster and Stromness. The services currently comprise of 5 vessels (3 Ro-Pax and 2 RoRo freighters) to deliver the Ferry Services. Further pre-tender information will be provided with the contract notice. Further information on Transport Scotland can be accessed through the Transport Scotland website at: www.transportscotland.gov.uk",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/550876,batch_20260414_194917
rls-41-MAR550757,Provision of Tax Advice and Tax-Related Services,University of Strathclyde,500000.0,"79221000, 79220000, 79222000",planning,2026-03-03T00:00:00Z,,,,The University of Strathclyde requires supplier(s) for the provision of tax advice and tax-related services.,Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/550757,batch_20260414_194917
rls-1-MAR552746,PIN for ScotRail's Facilities Management Services,ScotRail Trains Limited,,"79993100, 79993000, 71334000, 90910000, 98311000, 90620000, 77314000, 44400000, 90000000, 50700000, 50710000, 45300000, 45259000, 50800000, 50000000, 90900000",planning,2026-03-30T00:00:00Z,,,,ScotRail will be tendering for Hard and Soft Facilities Management Services and are issuing this Periodic Indicative Notice (PIN) to engage with and provide an update to suppliers on our tender strategy.,Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/552746,batch_20260414_194917
rls-2-MAR551938,Train Services Agreement (TSA) and Technical Support and Spares Supply Agreement (TSSSA),Caledonian Sleeper Limited,60000000.0,50222000,planning,2026-03-18T00:00:00Z,,,,"Caledonian Sleeper Limited (CSL) intends to undertake a pre-procurement market engagement exercise to inform the renewal of the services provided under the Train Services Agreement (TSA) and Technical Support and Spares Supply Agreement (TSSSA) for the Mk5 coach fleet (75 vehicles). The engagement will help CSL identify optimal packaging of services to maximise supplier participation, value for money and innovation. Any subsequent procurement will be subject to approvals from Scottish Rail Holdings (SRH) and Transport Scotland (TS) on behalf of the Scottish Ministers.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/551938,batch_20260414_194917
rls-1-MAR552328,ScotRail Class 380 TSSSA,ScotRail Trains Limited,131000000.0,"50220000, 71350000",tender,2026-03-24T00:00:00Z,,,,"SRT seeks to establish a long-term, collaborative partnership with a technically competent and commercially robust Service Provider capable of delivering exceptional fleet support for the Class 380. The successful bidder will demonstrate proven
 expertise, innovation, and a shared commitment to achieving excellence in fleet performance, reliability, and customer satisfaction.
 Suppliers expressing interest in delivering the full Technical Support and Spares Supply Agreement (TSSSA) shall be responsible for the integrated delivery of all services described above, including:
 - Technical support, investigations, and engineering improvement activities.
 - Full materials supply and inventory management functions.
 - 24/7 stores operation and logistics coordination.
 - Development of performance reporting, KPIs, and continuous improvement initiatives.
 - Joint responsibility with the Operator for the achievement of defined reliability and availability targets.
 Suppliers bidding for the full TSSSA must demonstrate comprehensive capability across engineering, materials management, and logistics disciplines, supported by a robust management structure, digital tools, and evidence of prior delivery of integrated fleet support solutions in the global rail sector.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/552328,batch_20260414_194917
rls-2-MAR552056,Supply and Delivery of Bulk Fuels,ScotRail Trains Limited,25000000.0,"09100000, 09134000",tender,2026-03-19T00:00:00Z,,,,"ScotRail Trains Ltd has a requirement for the supply and delivery of 35 million litres (approx.) of Marked Gas Oil to BS EN590 for use in
 UK Railway vehicles to 6 delivery locations in Edinburgh, Glasgow (3), Inverness and Perth and for the supply and delivery of 200,000
 litres of Diesel to BS EN590 for heating purposes to 1 delivery location in Glasgow. Precise details of each delivery Lot together with any
 additional requirements will be contained within the PQQ/tender documents. The indicative contract commencement date is 7th October
 2026.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/Search/Show/552056,batch_20260414_194917
